,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
Mir3472,16,14,14,31,14,18
Snord99,0,0,1,0,1,1
Gm23917,12,10,13,16,19,20
Mir1963,2,2,0,1,1,1
Gm24022,120,102,149,123,161,136
Mir290a,112,104,108,102,108,119
Gm27636,13,5,6,12,18,10
Gm25462,3,4,1,0,1,0
Mir7227,0,4,0,1,0,1
Mir6396,7,15,10,14,12,13
Mir759,126,109,99,154,136,148
Gm26418,9,10,11,13,11,19
Gm27530,42,37,52,49,49,43
Mir878,0,0,1,1,2,0
Mir6931,54,42,44,52,60,65
Mir7055,64,75,76,99,79,83
Gm17661,71,58,76,64,88,93
Scarna8,0,0,0,3,2,5
Gm25915,16,12,13,5,3,4
Gm44491,3,1,2,6,2,4
Gm27868,228,243,246,219,189,206
Mir3971,1,4,2,1,6,1
Gm22109,3,3,5,4,2,2
Gm22323,182,179,182,168,216,185
Mir6339,2,3,5,2,2,3
Gm25306,43,45,46,47,45,44
Gm25888,7,1,7,1,2,5
Gm44480,23,19,26,22,29,38
Gm26371,3,2,2,2,6,2
Gm23505,48,48,62,41,53,73
Gm23407,25,16,22,19,17,18
Gm25150,162,210,209,152,228,167
Vmn2r122,4,3,1,1,1,3
n-R5s110,38,46,29,42,48,31
Gm22808,38,39,30,40,33,35
Gm24422,138,114,111,157,174,141
Gm24653,3,1,3,3,4,2
n-R5s175,1,1,0,0,0,0
Gm26074,5,5,4,4,1,8
Gm24030,41,37,31,25,38,47
Gm22417,11,10,13,11,8,15
Gm22721,20,11,15,20,24,24
Gm10283,1,0,1,1,0,0
Gm21905,37,44,26,32,44,36
Gm23128,168,160,150,145,127,183
Gm22772,2,3,2,1,1,1
Gm24273,1,0,1,0,0,1
Gm24669,38,23,21,34,37,35
Gm24099,3,0,3,0,1,1
Gm25375,9,5,15,10,5,8
Gm25084,6,5,6,5,5,8
CAAA01165726.1,8,4,5,3,7,5
n-R5s139,15,14,11,15,18,27
Gm26274,4,1,3,2,0,1
Gm23751,4,0,2,6,2,9
Gm22010,0,2,2,0,0,0
Gm25371,15,17,15,28,19,23
Gm24541,0,1,2,2,0,1
Gm22132,7,3,8,15,15,7
Gm24609,1,1,1,2,1,0
