"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"Angel2",25,18,39,30,26,33
"Angptl2",33,37,52,36,20,20
"Angptl4",10,8,15,9,9,7
"Ank",120,93,100,64,74,76
"Ank2",18,10,12,7,2,6
"Ank3",103,84,110,48,28,37
"Ankfy1",87,85,69,76,93,73
"Ankhd1",26,23,40,33,27,32
"Ankib1",52,55,49,72,72,68
"Ankle2",28,15,31,21,27,18
"Ankmy2",16,18,22,27,23,28
"Ankra2",10,5,4,5,7,8
"Ankrd10",27,16,16,28,22,18
"Ankrd11",104,93,112,90,99,101
"Ankrd12",10,9,12,5,10,6
"Ankrd13a",194,162,186,219,151,149
"Ankrd13b",13,8,9,12,9,7
"Ankrd13c",65,43,55,41,41,36
"Ankrd17",90,79,98,73,89,95
"Ankrd27",27,19,22,26,29,32
"Ankrd28",32,22,28,26,30,35
"Ankrd37",9,5,2,3,7,13
"Ankrd40",53,49,67,66,56,43
"Ankrd40cl",10,12,11,5,5,5
"Ankrd44",10,6,7,7,7,12
"Ankrd46",24,24,16,17,32,23
"Ankrd49",11,5,8,8,15,10
"Ankrd50",49,33,45,51,61,47
"Ankrd52",60,62,90,73,60,49
"Ankrd54",16,12,16,22,10,12
"Ankrd9",20,34,27,10,14,6
"Anks1",38,45,62,47,35,33
"Anks3",9,9,5,8,9,4
"Anks4b",72,60,55,52,66,57
"Anks6",17,10,13,8,5,4
"Ankzf1",18,9,9,16,20,9
"Anln",12,10,2,8,18,11
"Ano1",54,52,60,50,50,45
"Ano10",66,64,42,51,72,62
"Ano6",32,34,44,27,27,41
"Ano7",42,48,41,21,43,28
"Ano8",13,13,15,13,10,11
"Ano9",25,27,19,32,28,26
"Anp32a",64,60,76,70,91,70
"Anp32b",39,31,39,35,38,50
"Anp32e",56,59,46,51,46,56
"Anpep",24,25,12,22,7,15
"Antkmt",7,15,8,9,11,4
"Antxr1",31,35,41,39,39,42
"Antxr2",57,43,59,43,56,47
"Anxa1",34,28,33,57,65,59
"Anxa11",140,166,136,98,92,89
"Anxa11os",31,37,38,15,10,5
"Anxa13",6,10,15,8,8,14
"Anxa2",332,378,376,419,528,467
"Anxa3",15,11,17,37,32,27
"Anxa4",224,173,175,256,281,251
"Anxa5",52,47,53,65,80,81
"Anxa6",60,67,61,61,85,43
"Anxa7",102,120,113,104,129,128
"Aoc1",131,194,190,194,156,160
"Aoc3",59,43,51,43,44,33
"Aopep",19,16,13,20,28,20
"Ap1ar",52,52,55,52,49,32
"Ap1b1",86,101,98,103,89,109
"Ap1g1",92,102,103,90,107,115
"Ap1g2",38,33,34,36,27,27
"Ap1m1",10,19,12,13,25,18
"Ap1m2",73,62,70,82,78,65
"Ap1s1",111,84,97,90,100,66
"Ap2a1",69,62,66,68,71,50
"Ap2a2",81,87,93,119,115,114
"Ap2b1",104,98,97,129,144,127
"Ap2m1",22,9,13,15,22,20
"Ap2m1-ps",27,20,17,22,15,32
"Ap2s1",48,64,46,63,81,57
"Ap3b1",87,91,94,81,77,86
"Ap3d1",112,98,115,78,92,77
"Ap3m1",37,27,39,27,34,46
"Ap3s2",25,24,19,27,31,30
"Ap4e1",6,6,9,5,2,8
"Ap4m1",21,15,14,26,27,13
